timestamp,channel,direction,callsign,morse,text,wpm,mode,toneFrequency,toneWaveform,keyDurationMs
"2026-09-04T15:30:00.960Z","CASEVAC","RX","INSTR","-.-","K","15","straight","600","sine","720"
"2026-09-04T15:30:02.560Z","CASEVAC","RX","INSTR",".----","1","15","straight","600","sine","1360"
"2026-09-04T15:30:03.360Z","CASEVAC","RX","INSTR","--","M","15","straight","600","sine","560"
"2026-09-04T15:30:03.680Z","CASEVAC","RX","INSTR",".","E","15","straight","600","sine","80"
"2026-09-04T15:30:04.480Z","CASEVAC","RX","INSTR","-..","D","15","straight","600","sine","560"
"2026-09-04T15:30:05.840Z","CASEVAC","RX","INSTR","-..","D","15","straight","600","sine","560"
"2026-09-04T15:30:06.160Z","CASEVAC","RX","INSTR",".","E","15","straight","600","sine","80"
"2026-09-04T15:30:07.200Z","CASEVAC","RX","INSTR","..","I","15","straight","600","sine","240"
"2026-09-04T15:30:07.840Z","CASEVAC","RX","INSTR","-.","N","15","straight","600","sine","400"
"2026-09-04T15:30:08.480Z","CASEVAC","RX","INSTR","...","S","15","straight","600","sine","400"
"2026-09-04T15:30:08.960Z","CASEVAC","RX","INSTR","-","T","15","straight","600","sine","240"
"2026-09-04T15:30:09.760Z","CASEVAC","RX","INSTR",".-.","R","15","straight","600","sine","560"
"2026-09-04T15:30:10.960Z","CASEVAC","RX","INSTR","...","S","15","straight","600","sine","400"
"2026-09-04T15:30:11.280Z","CASEVAC","RX","INSTR",".","E","15","straight","600","sine","80"
"2026-09-04T15:30:11.920Z","CASEVAC","RX","INSTR","-.","N","15","straight","600","sine","400"
"2026-09-04T15:30:12.720Z","CASEVAC","RX","INSTR","-..","D","15","straight","600","sine","560"
"2026-09-04T15:30:14.880Z","CASEVAC","RX","INSTR","----.","9","15","straight","600","sine","1360"
"2026-09-04T15:30:16.400Z","CASEVAC","RX","INSTR",".-..","L","15","straight","600","sine","720"
"2026-09-04T15:30:16.880Z","CASEVAC","RX","INSTR","..","I","15","straight","600","sine","240"
"2026-09-04T15:30:17.520Z","CASEVAC","RX","INSTR","-.","N","15","straight","600","sine","400"
